iteration,current_objective,best_objective,current_total_weight
1095,19109,19109,2539
1096,19109,19109,2539
1097,19109,19109,2539
1098,19109,19109,2539
1099,19109,19109,2539
1100,19109,19109,2539
1101,19109,19109,2539
1102,19109,19109,2539
1103,19109,19109,2539
1104,19109,19109,2539
1105,19109,19109,2539
1106,19109,19109,2539
1107,19109,19109,2539
1108,19109,19109,2539
1109,19109,19109,2539
1110,19109,19109,2539
1111,19109,19109,2539
1112,19109,19109,2539
1113,19109,19109,2539
1114,19109,19109,2539
1115,19109,19109,2539
1116,19109,19109,2539
1117,19109,19109,2539
1118,19109,19109,2539
1119,19109,19109,2539
1120,19109,19109,2539
1121,19109,19109,2539
1122,19109,19109,2539
1123,19109,19109,2539
1124,19109,19109,2539
1125,19104,19109,2462
1126,19104,19109,2462
1127,19104,19109,2462
1128,19104,19109,2462
1129,19104,19109,2462
1130,19104,19109,2462
1131,19104,19109,2462
1132,19104,19109,2462
1133,19104,19109,2462
1134,19104,19109,2462
1135,19104,19109,2462
1136,19104,19109,2462
1137,19104,19109,2462
1138,19104,19109,2462
1139,19104,19109,2462
1140,19104,19109,2462
1141,19104,19109,2462
1142,19104,19109,2462
1143,19061,19109,2499
1144,19061,19109,2499
1145,19061,19109,2499
1146,19061,19109,2499
1147,19061,19109,2499
1148,19061,19109,2499
1149,19061,19109,2499
1150,19061,19109,2499
1151,19061,19109,2499
1152,19061,19109,2499
1153,19061,19109,2499
1154,19061,19109,2499
1155,19061,19109,2499
1156,19061,19109,2499
1157,19061,19109,2499
1158,19061,19109,2499
1159,19061,19109,2499
1160,19061,19109,2499
1161,19061,19109,2499
1162,19061,19109,2499
1163,19061,19109,2499
1164,19061,19109,2499
1165,19061,19109,2499
1166,19061,19109,2499
1167,19061,19109,2499
1168,19061,19109,2499
1169,19061,19109,2499
1170,19061,19109,2499
1171,19061,19109,2499
1172,19061,19109,2499
1173,19061,19109,2499
1174,19061,19109,2499
1175,19061,19109,2499
1176,19061,19109,2499
1177,19061,19109,2499
1178,19061,19109,2499
1179,19061,19109,2499
1180,19061,19109,2499
1181,19061,19109,2499
1182,19061,19109,2499
1183,19061,19109,2499
1184,19061,19109,2499
1185,19061,19109,2499
1186,19061,19109,2499
1187,19061,19109,2499
1188,19061,19109,2499
1189,19061,19109,2499
1190,19061,19109,2499
1191,19061,19109,2499
1192,19061,19109,2499
1193,19061,19109,2499
1194,19061,19109,2499
1195,19061,19109,2499
1196,19061,19109,2499
1197,19061,19109,2499
1198,19061,19109,2499
1199,19061,19109,2499
1200,19061,19109,2499
1201,19061,19109,2499
1202,19061,19109,2499
