iteration,current_objective,best_objective
1353,19474,19474
1354,19474,19474
1355,19474,19474
1356,19474,19474
1357,19474,19474
1358,19474,19474
1359,19474,19474
1360,19474,19474
1361,19474,19474
1362,19474,19474
1363,19474,19474
1364,19474,19474
1365,19474,19474
1366,19474,19474
1367,19474,19474
1368,20115,20115
1369,20115,20115
1370,20115,20115
1371,20115,20115
1372,20115,20115
1373,20115,20115
1374,20115,20115
1375,20115,20115
1376,20115,20115
1377,20115,20115
1378,20115,20115
1379,20115,20115
1380,20115,20115
1381,20115,20115
1382,20115,20115
1383,20115,20115
1384,20115,20115
1385,20115,20115
1386,20115,20115
1387,20115,20115
1388,20115,20115
1389,20115,20115
1390,20115,20115
1391,20115,20115
1392,20115,20115
1393,20115,20115
1394,20115,20115
1395,20115,20115
1396,20115,20115
1397,20115,20115
1398,20115,20115
1399,20115,20115
1400,20115,20115
1401,20115,20115
1402,20115,20115
1403,20115,20115
1404,20115,20115
1405,20115,20115
1406,20115,20115
1407,20115,20115
1408,20115,20115
1409,20115,20115
1410,20115,20115
1411,20115,20115
1412,20115,20115
1413,20115,20115
1414,20115,20115
1415,20115,20115
1416,20115,20115
1417,20115,20115
1418,20115,20115
1419,20115,20115
1420,20115,20115
1421,20115,20115
1422,20115,20115
1423,20115,20115
1424,20115,20115
1425,20115,20115
1426,20115,20115
1427,20115,20115
1428,20115,20115
1429,20885,20885
1430,20885,20885
1431,20885,20885
1432,20885,20885
1433,20885,20885
1434,20885,20885
1435,20885,20885
1436,20885,20885
1437,20885,20885
1438,20885,20885
1439,20885,20885
1440,20885,20885
1441,20885,20885
1442,20885,20885
1443,20885,20885
1444,20885,20885
1445,20885,20885
1446,20885,20885
1447,20885,20885
1448,20885,20885
1449,20885,20885
1450,20885,20885
1451,20885,20885
1452,20885,20885
1453,20885,20885
1454,20885,20885
1455,20885,20885
1456,20885,20885
1457,20885,20885
1458,20885,20885
1459,20885,20885
1460,20885,20885
1461,20885,20885
1462,20885,20885
1463,20885,20885
1464,20885,20885
1465,20885,20885
1466,20885,20885
1467,20885,20885
1468,20885,20885
1469,20885,20885
1470,20885,20885
1471,20885,20885
1472,20885,20885
1473,20885,20885
1474,20885,20885
1475,20885,20885
1476,20885,20885
1477,20885,20885
1478,20885,20885
1479,20885,20885
1480,20885,20885
1481,20885,20885
1482,20885,20885
1483,20885,20885
1484,20885,20885
1485,20885,20885
1486,20885,20885
1487,20885,20885
1488,20885,20885
1489,20885,20885
1490,20885,20885
1491,20885,20885
1492,20885,20885
1493,20885,20885
1494,20885,20885
1495,20885,20885
1496,20885,20885
1497,20885,20885
1498,20885,20885
1499,20885,20885
1500,20885,20885
1501,20885,20885
1502,20885,20885
1503,20885,20885
1504,20885,20885
1505,20885,20885
1506,20885,20885
1507,20885,20885
1508,20885,20885
1509,20885,20885
1510,20885,20885
1511,20885,20885
1512,20885,20885
1513,20885,20885
1514,20885,20885
1515,20885,20885
1516,20885,20885
1517,20885,20885
1518,20885,20885
1519,20885,20885
1520,20885,20885
1521,20885,20885
1522,20885,20885
1523,20885,20885
1524,20885,20885
1525,20885,20885
1526,20885,20885
1527,20885,20885
1528,20885,20885
1529,20885,20885
1530,20885,20885
1531,20885,20885
1532,20885,20885
1533,20885,20885
1534,20885,20885
1535,20885,20885
1536,20885,20885
1537,20885,20885
1538,20885,20885
1539,20885,20885
1540,20885,20885
1541,20885,20885
1542,20885,20885
1543,20885,20885
1544,20885,20885
1545,20885,20885
1546,20885,20885
1547,20885,20885
1548,20885,20885
1549,20885,20885
1550,20885,20885
1551,20885,20885
1552,20885,20885
1553,20885,20885
1554,20885,20885
1555,20885,20885
1556,20885,20885
1557,20885,20885
1558,20885,20885
1559,20885,20885
1560,20885,20885
1561,20885,20885
1562,20885,20885
1563,20885,20885
1564,20885,20885
1565,20885,20885
1566,20885,20885
1567,20885,20885
1568,20885,20885
1569,20885,20885
1570,20885,20885
1571,20885,20885
1572,20885,20885
1573,20885,20885
1574,20885,20885
1575,20885,20885
1576,20885,20885
1577,20885,20885
1578,20885,20885
1579,20885,20885
1580,20885,20885
1581,20885,20885
1582,20885,20885
1583,20885,20885
1584,20885,20885
1585,20885,20885
1586,20885,20885
1587,20885,20885
1588,20885,20885
1589,20885,20885
1590,20885,20885
1591,20885,20885
1592,20885,20885
1593,20885,20885
1594,20885,20885
1595,20885,20885
1596,20885,20885
1597,20885,20885
1598,20885,20885
1599,20885,20885
1600,20885,20885
1601,20885,20885
1602,20885,20885
1603,20885,20885
1604,20885,20885
1605,20885,20885
1606,20885,20885
1607,20885,20885
1608,20885,20885
1609,20885,20885
1610,20885,20885
1611,20885,20885
1612,20885,20885
1613,20885,20885
1614,20885,20885
1615,20885,20885
1616,20885,20885
1617,20885,20885
1618,20885,20885
1619,20885,20885
1620,20885,20885
1621,20885,20885
1622,20885,20885
1623,20885,20885
1624,20885,20885
1625,20885,20885
1626,20885,20885
1627,20885,20885
1628,20885,20885
1629,20885,20885
1630,20885,20885
1631,20885,20885
1632,20885,20885
1633,20885,20885
1634,20885,20885
1635,20885,20885
1636,20885,20885
1637,20885,20885
1638,20885,20885
1639,20885,20885
1640,20885,20885
1641,20885,20885
